,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,selling_price_scaled
87,Mercedes-Benz M-Class ML 250 CDI,2015,2600000,100000,Diesel,Individual,Automatic,Second Owner,15.26,2143.0,203.2,5.0,14.77102238760702
88,Mercedes-Benz E-Class E250 CDI Elegance,2011,1600000,70000,Diesel,Individual,Automatic,First Owner,14.21,2143.0,203.0,5.0,14.285514812209815
89,Mercedes-Benz E-Class E250 CDI Avantgrade,2014,1850000,60000,Diesel,Individual,Automatic,Second Owner,13.0,2143.0,201.1,5.0,14.430696737594902
90,Mercedes-Benz E-Class E270 CDI,2005,800000,120005,Diesel,Individual,Automatic,Second Owner,11.0,2987.0,198.5,5.0,13.592368256649284
91,Hyundai Sonata 2.4 GDi MT,2012,550000,330000,Petrol,Individual,Manual,Second Owner,13.44,2359.0,198.25,5.0,13.217675375388819
92,Hyundai Sonata 2.4 GDi MT,2012,525000,70000,Petrol,Individual,Manual,Second Owner,13.44,2359.0,198.25,5.0,13.171155446333852
93,Hyundai Sonata 2.4 GDi MT,2012,500000,330000,Petrol,Individual,Manual,Second Owner,13.44,2359.0,198.25,5.0,13.122365377402328
94,Chevrolet Trailblazer LTZ 4X2 AT,2016,1295000,46000,Diesel,Dealer,Automatic,Second Owner,11.45,2776.0,197.2,7.0,14.07402202531625
95,Ford Endeavour 3.2 Titanium AT 4X4,2018,3250000,12000,Diesel,Individual,Automatic,First Owner,10.91,3198.0,197.0,7.0,14.99416586199818
97,Ford Endeavour 3.2 Titanium AT 4X4,2016,2280000,120000,Diesel,Individual,Automatic,Second Owner,10.91,3198.0,197.0,7.0,14.639686439527019
98,Ford Endeavour 3.2 Titanium AT 4X4,2016,2100000,80000,Diesel,Individual,Automatic,First Owner,10.91,3198.0,197.0,7.0,14.557448378884015
99,Ford Endeavour 3.2 Titanium AT 4X4,2018,3200000,35000,Diesel,Individual,Automatic,First Owner,10.91,3198.0,197.0,7.0,14.978661680269907
100,Mercedes-Benz E-Class Exclusive E 200 BSIV,2019,5200000,17000,Petrol,Dealer,Automatic,First Owner,15.0,1991.0,194.4,5.0,15.46416937585933
102,Hyundai Santa Fe 2WD MT,2014,1100000,80000,Diesel,Individual,Manual,First Owner,14.74,2199.0,194.3,7.0,13.910821646859095
103,Hyundai Santa Fe 4X4,2011,825000,125000,Diesel,Individual,Manual,Second Owner,14.66,2199.0,194.3,7.0,13.623139877437296
104,Hyundai Santa Fe 4WD AT,2014,900000,80000,Diesel,Individual,Automatic,Second Owner,13.01,2199.0,194.3,7.0,13.710151153416941
105,Hyundai Santa Fe 2WD AT,2014,1050000,146000,Diesel,Individual,Automatic,Second Owner,13.01,2199.0,194.3,7.0,13.864301674514206
106,Hyundai Santa Fe 4x4 AT,2011,1200000,62000,Diesel,Individual,Automatic,Second Owner,11.72,2199.0,194.3,7.0,13.997832948091215
107,Mercedes-Benz GLC 220d 4MATIC,2017,3300000,60000,Diesel,Dealer,Automatic,First Owner,0.0,1950.0,194.0,5.0,15.009433329466965
108,BMW X1 sDrive20d M Sport,2011,1075000,42545,Diesel,Dealer,Automatic,First Owner,19.62,1998.0,190.0,5.0,13.887832149776026
109,BMW X1 sDrive20d M Sport,2018,3350000,18000,Diesel,Dealer,Automatic,First Owner,19.62,1998.0,190.0,5.0,15.024471202308668
111,BMW X1 sDrive20d M Sport,2012,925000,96000,Diesel,Dealer,Automatic,Second Owner,19.62,1998.0,190.0,5.0,13.73755009757506
114,BMW 3 Series 320d Luxury Line,2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0,14.580978865220017
115,BMW 3 Series 320d,2017,3200000,13663,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0,14.978661680269907
116,BMW 3 Series 320d Luxury Line Plus,2017,2600000,44000,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0,14.77102238760702
119,BMW 5 Series 520d Luxury Line,2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,5.0,14.88022163978423
120,BMW 5 Series 520d Luxury Line,2019,5200000,10000,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,5.0,15.46416937585933
121,BMW 5 Series 520d Luxury Line,2016,3200000,40000,Diesel,Individual,Automatic,First Owner,18.12,1995.0,190.0,5.0,14.978661680269907
123,BMW X4 M Sport X xDrive20d,2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0,15.573368647930426
124,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0,15.501909696719672
125,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0,15.520258832020865
182,BMW X4 M Sport X xDrive20d,2019,5800000,21000,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0,15.573368647930426
185,Volvo XC40 D4 R-Design,2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,5.0,15.039286283703994
186,Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,5.0,15.150511887854474
217,Volvo S90 D4 Inscription BSIV,2019,5500000,17000,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,5.0,15.520258832020865
218,Volkswagen GTI 1.8 TSI,2016,800000,70000,Petrol,Individual,Automatic,First Owner,16.34,1798.0,189.3,5.0,13.592368256649284
219,BMW X1 sDrive20i xLine,2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,5.0,14.731801689838349
221,BMW 3 Series GT Luxury Line,2016,2950000,60000,Diesel,Dealer,Automatic,First Owner,21.76,1995.0,188.0,5.0,14.897316067298997
222,Audi Q5 35TDI Premium Plus,2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,5.0,15.195535557642865
228,BMW 5 Series 520d Sport Line,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5.0,15.147876840910817
229,BMW 5 Series 520d Sport Line,2018,3900000,17100,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5.0,15.176487367510099
231,BMW 5 Series 520d Sport Line,2018,4000000,10000,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5.0,15.201805169084134
233,BMW 5 Series 520d Sport Line,2009,975000,80000,Diesel,Dealer,Automatic,Second Owner,22.48,1995.0,187.74,5.0,13.790193775620484
234,BMW 3 Series 320d Luxury Line,2010,1100000,102000,Diesel,Dealer,Automatic,First Owner,19.62,1995.0,187.74,5.0,13.910821646859095
235,BMW 3 Series 320d GT Luxury Line,2017,2950000,39000,Diesel,Dealer,Automatic,First Owner,19.59,1995.0,187.74,5.0,14.897316067298997
237,Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5.0,14.340239086899256
238,Audi A4 35 TDI Premium Plus,2015,1750000,37000,Diesel,Dealer,Automatic,First Owner,18.25,1968.0,187.74,5.0,14.375126917328105
239,Audi A4 35 TDI Premium Plus,2018,2900000,15000,Diesel,Dealer,Automatic,First Owner,18.25,1968.0,187.74,5.0,14.88022163978423
240,Audi A4 35 TDI Premium Plus,2016,1898999,46000,Diesel,Dealer,Automatic,First Owner,18.25,1968.0,187.74,5.0,14.456837989794423
241,Audi A4 35 TDI Premium Plus,2016,2450000,30000,Diesel,Dealer,Automatic,First Owner,18.25,1968.0,187.74,5.0,14.711598990684092
242,Audi A6 35 TFSI Matrix,2019,6223000,7800,Petrol,Dealer,Automatic,Test Drive Car,15.26,1798.0,187.74,5.0,15.643762824245542
243,Audi A6 35 TFSI Matrix,2019,5923000,11500,Petrol,Dealer,Automatic,Test Drive Car,15.26,1798.0,187.74,5.0,15.59435380409245
244,Audi A6 35 TFSI Matrix,2019,6523000,23600,Petrol,Dealer,Automatic,Test Drive Car,15.26,1798.0,187.74,5.0,15.690845104081916
245,Jaguar XF 2.2 Litre Luxury,2013,2450000,60000,Diesel,Individual,Automatic,First Owner,16.36,2179.0,187.7,5.0,14.711598990684092
247,Jaguar XF 2.2 Litre Luxury,2015,3000000,70000,Diesel,Individual,Automatic,Second Owner,16.36,2179.0,187.7,5.0,14.914123179965662
248,Land Rover Range Rover Evoque 2.2L Pure,2013,2000000,77500,Diesel,Individual,Automatic,Third Owner,12.7,2179.0,187.7,5.0,14.508658238524095
249,Honda CR-V 2.4L 4WD AT AVN,2017,1750000,73000,Petrol,Dealer,Automatic,First Owner,12.0,2354.0,187.4,5.0,14.375126917328105
250,Honda CR-V 2.4L 4WD AT AVN,2017,1825000,58000,Petrol,Dealer,Automatic,First Owner,12.0,2354.0,187.4,5.0,14.417091092943783
251,Honda CR-V 2.4L 4WD AT AVN,2017,1650000,52000,Petrol,Dealer,Automatic,First Owner,12.0,2354.0,187.4,5.0,14.316286451937186
253,Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,2007,400000,42000,Petrol,Dealer,Automatic,First Owner,11.74,1796.0,186.0,5.0,12.899222326086994
254,Mahindra Ssangyong Rexton RX7,2013,800000,117000,Diesel,Dealer,Automatic,First Owner,11.18,2696.0,184.0,7.0,13.592368256649284
255,Mahindra Ssangyong Rexton RX7,2013,1000000,40000,Diesel,Individual,Automatic,First Owner,11.18,2696.0,184.0,7.0,13.815511557963774
256,Mahindra Ssangyong Rexton RX7,2013,850000,200000,Diesel,Individual,Automatic,First Owner,11.18,2696.0,184.0,7.0,13.652992804936396
258,Chevrolet Captiva 2.2 LT,2013,667000,65000,Diesel,Individual,Manual,First Owner,14.6,2231.0,184.0,7.0,13.410546824147012
259,Chevrolet Captiva 2.2 LTZ AWD,2012,700000,50000,Diesel,Individual,Automatic,Second Owner,12.12,2231.0,184.0,7.0,13.45883704259595
260,BMW 3 Series 320d Luxury Line,2012,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,14.077875591662238
261,BMW 3 Series 320d Luxury Plus,2013,1300000,140000,Diesel,Individual,Automatic,Second Owner,18.88,1995.0,184.0,5.0,14.077875591662238
264,BMW 3 Series 320d Prestige,2015,1650000,74000,Diesel,Individual,Automatic,First Owner,18.88,1995.0,184.0,5.0,14.316286451937186
265,BMW X1 sDrive 20d Sportline,2018,2850000,27000,Diesel,Dealer,Automatic,First Owner,17.05,1995.0,184.0,5.0,14.862829903121964
266,BMW X1 sDrive20d,2011,1000000,50000,Diesel,Individual,Automatic,First Owner,17.05,1995.0,184.0,5.0,13.815511557963774
267,BMW X3 xDrive20d,2012,1800000,50000,Diesel,Individual,Automatic,First Owner,16.09,1995.0,184.0,5.0,14.403297778421795
268,Hyundai Tucson 2.0 e-VGT 2WD AT GLS,2016,1950000,45000,Diesel,Dealer,Automatic,Second Owner,16.38,1995.0,183.0,5.0,14.48334044336031
269,Mercedes-Benz CLA 200 CGI Sport,2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,5.0,14.751604309291395
271,Mercedes-Benz GLA Class 200,2016,2000000,70000,Petrol,Individual,Automatic,First Owner,13.7,1991.0,183.0,5.0,14.508658238524095
272,Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,5.0,14.80876270134486
274,BMW 3 Series 320d Highline,2009,1100000,60000,Diesel,Individual,Automatic,Second Owner,16.07,1995.0,181.0,5.0,13.910821646859095
275,BMW 3 Series 320d Sedan,2007,480000,110000,Diesel,Individual,Automatic,Fourth & Above Owner,16.07,1995.0,181.0,5.0,13.081543466215237
276,BMW 3 Series 320d Highline,2012,1100000,80000,Diesel,Individual,Automatic,Second Owner,16.07,1995.0,181.0,5.0,13.910821646859095
277,BMW 3 Series 320d Corporate Edition,2012,900000,155000,Diesel,Individual,Automatic,Second Owner,16.07,1995.0,181.0,4.0,13.710151153416941
278,BMW 3 Series 320d Sedan,2011,1500000,84925,Diesel,Individual,Automatic,First Owner,16.07,1995.0,181.0,5.0,14.220976332738882
279,Volvo S60 D4 SUMMUM,2016,1950000,48000,Diesel,Dealer,Automatic,First Owner,9.0,1984.0,181.0,5.0,14.48334044336031
280,Volvo S60 D4 SUMMUM,2014,2500000,30000,Diesel,Individual,Automatic,First Owner,9.0,1984.0,181.0,5.0,14.731801689838349
281,Audi Q3 35 TDI Quattro Technology,2018,2200000,25000,Diesel,Individual,Automatic,Second Owner,15.17,1968.0,181.0,5.0,14.603968372873895
282,Nissan Teana XL,2014,600000,80000,Petrol,Individual,Automatic,Second Owner,11.07,2496.0,179.5,5.0,13.304686600863562
283,Mitsubishi Pajero Sport Anniversary Edition,2015,1250000,160000,Diesel,Individual,Manual,Second Owner,13.5,2477.0,178.0,7.0,14.038654909278163
285,Mercedes-Benz New C-Class C 200 Kompressor Elegance MT,2006,650000,40000,Petrol,Individual,Manual,First Owner,11.7,1796.0,178.0,5.0,13.384729180332174
286,Mercedes-Benz New C-Class 200 K AT,2007,500000,120000,Petrol,Individual,Automatic,First Owner,11.7,1796.0,178.0,5.0,13.122365377402328
287,Honda Accord 2.4 M/T,2012,600000,144030,Petrol,Individual,Manual,First Owner,12.8,2354.0,177.6,5.0,13.304686600863562
288,Honda Accord 2.4 MT,2010,300000,74000,Petrol,Individual,Manual,Second Owner,12.8,2354.0,177.6,5.0,12.611541086966115
289,Honda Accord 2.4 AT,2009,400000,100000,Petrol,Individual,Automatic,Second Owner,11.7,2354.0,177.6,5.0,12.899222326086994
290,Honda Accord 2.4 A/T,2013,580000,50000,Petrol,Dealer,Automatic,First Owner,11.7,2354.0,177.6,5.0,13.270785106659046
291,Audi A3 40 TFSI Premium,2017,1689999,8000,Petrol,Dealer,Automatic,First Owner,16.6,1798.0,177.5,5.0,14.340239086899256
292,Skoda Octavia Elegance 1.8 TSI AT,2017,1600000,33000,Petrol,Dealer,Automatic,Second Owner,14.7,1798.0,177.5,5.0,14.285514812209815
293,Skoda Superb LK 1.8 TSI AT,2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5.0,14.438771611060053
295,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5.0,14.978661680269907
329,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5.0,14.78059183496017
341,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2711000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5.0,14.812828497348312
359,BMW 5 Series 520d,2008,1100000,122000,Diesel,Individual,Automatic,Second Owner,18.48,1995.0,177.0,5.0,13.910821646859095
360,Mitsubishi Pajero Sport 4X4,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7.0,13.901689171636098
361,Mitsubishi Pajero Sport 4X4,2013,950000,181491,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7.0,13.76421831620775
362,Mitsubishi Pajero Sport 4X4,2015,1700000,39000,Diesel,Individual,Manual,First Owner,13.5,2477.0,175.56,7.0,14.346139397261565
364,Mitsubishi Pajero Sport 4X4 Dual Tone,2016,1950000,120000,Diesel,Individual,Manual,First Owner,13.5,2477.0,175.56,7.0,14.48334044336031
365,Volkswagen Passat 2.0 TDI AT Highline,2012,900000,108000,Diesel,Dealer,Automatic,First Owner,17.42,1968.0,175.0,5.0,13.710151153416941
366,Isuzu MUX 2WD,2019,2700000,10000,Diesel,Individual,Automatic,First Owner,13.8,2999.0,174.57,7.0,14.80876270134486
368,Toyota Fortuner 2.8 4WD AT BSIV,2017,2950000,50000,Diesel,Individual,Automatic,First Owner,15.04,2755.0,174.5,7.0,14.897316067298997
369,Toyota Fortuner 2.8 4WD AT BSIV,2018,3200000,60000,Diesel,Individual,Automatic,First Owner,15.04,2755.0,174.5,7.0,14.978661680269907
370,Toyota Fortuner 2.8 4WD AT BSIV,2016,3100000,90000,Diesel,Individual,Automatic,First Owner,15.04,2755.0,174.5,7.0,14.946912992035967
371,Toyota Fortuner 2.8 4WD AT BSIV,2017,3100000,70000,Diesel,Individual,Automatic,First Owner,15.04,2755.0,174.5,7.0,14.946912992035967
373,Toyota Fortuner 2.8 4WD AT BSIV,2020,3200000,3000,Diesel,Individual,Automatic,First Owner,15.04,2755.0,174.5,7.0,14.978661680269907
374,Toyota Fortuner 2.8 2WD MT BSIV,2018,3000000,35000,Diesel,Individual,Manual,First Owner,14.24,2755.0,174.5,7.0,14.914123179965662
375,Toyota Fortuner 2.8 2WD MT,2013,1500000,148120,Diesel,Dealer,Manual,First Owner,14.24,2755.0,174.5,7.0,14.220976332738882
376,Toyota Fortuner 2.8 4WD MT BSIV,2018,3200000,50000,Diesel,Individual,Manual,First Owner,14.24,2755.0,174.5,7.0,14.978661680269907
377,Toyota Fortuner 2.8 2WD MT BSIV,2018,2900000,46000,Diesel,Individual,Manual,First Owner,14.24,2755.0,174.5,7.0,14.88022163978423
379,Toyota Fortuner 2.8 2WD AT BSIV,2018,2940000,100000,Diesel,Dealer,Automatic,First Owner,12.9,2755.0,174.5,7.0,14.89392047945086
380,Toyota Fortuner 2.8 2WD AT BSIV,2018,2900000,49000,Diesel,Individual,Automatic,First Owner,12.9,2755.0,174.5,7.0,14.88022163978423
381,Audi A6 2.0 TDI Technology,2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5.0,14.375126917328105
382,Audi A6 2.0 TDI Premium Plus,2013,2000000,35000,Diesel,Individual,Automatic,Second Owner,17.68,1968.0,174.33,5.0,14.508658238524095
383,Audi A6 2.0 TDI,2014,2200000,60000,Diesel,Individual,Automatic,First Owner,17.68,1968.0,174.33,5.0,14.603968372873895
384,Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1200000,110000,Diesel,Individual,Automatic,First Owner,17.11,1968.0,174.33,5.0,13.997832948091215
385,Audi Q3 2.0 TDI Quattro Premium Plus,2017,2825000,22000,Diesel,Dealer,Automatic,First Owner,15.73,1968.0,174.33,5.0,14.854019276544916
386,Audi Q3 35 TDI Quattro Premium Plus,2018,2800000,26000,Diesel,Dealer,Automatic,First Owner,15.73,1968.0,174.33,5.0,14.845130332288226
387,Audi Q3 2.0 TDI Quattro Premium Plus,2016,2375000,30000,Diesel,Dealer,Automatic,First Owner,15.73,1968.0,174.33,5.0,14.680508416503422
389,Audi Q3 2.0 TDI Quattro Premium Plus,2014,1200000,230000,Diesel,Individual,Automatic,First Owner,15.73,1968.0,174.33,5.0,13.997832948091215
390,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,14.316286451937186
391,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,14.23750562376114
392,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1800000,30000,Diesel,Individual,Automatic,First Owner,11.36,2755.0,171.5,7.0,14.403297778421795
393,Toyota Innova Crysta 2.8 GX AT BSIV,2018,1745000,10000,Diesel,Individual,Automatic,First Owner,11.36,2755.0,171.5,7.0,14.372265686684402
394,Toyota Innova Crysta 2.8 GX AT 8S BSIV,2019,1925000,43000,Diesel,Dealer,Automatic,First Owner,11.36,2755.0,171.5,8.0,14.470437045184406
395,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1825000,94000,Diesel,Dealer,Automatic,First Owner,11.36,2755.0,171.5,7.0,14.417091092943783
396,Toyota Innova Crysta 2.8 GX AT 8S BSIV,2018,1800000,20000,Diesel,Dealer,Automatic,First Owner,11.36,2755.0,171.5,8.0,14.403297778421795
397,Toyota Innova Crysta 2.8 GX AT BSIV,2017,1390000,98000,Diesel,Dealer,Automatic,First Owner,11.36,2755.0,171.5,7.0,14.144815024531075
398,Toyota Innova Crysta 2.8 ZX AT BSIV,2017,1850000,18890,Diesel,Dealer,Automatic,First Owner,11.36,2755.0,171.5,7.0,14.430696737594902
399,Toyota Innova Crysta 2.8 GX AT BSIV,2016,1575000,55000,Diesel,Individual,Automatic,First Owner,11.36,2755.0,171.5,7.0,14.269766465162304
402,Toyota Innova Crysta 2.8 GX AT BSIV,2017,1465000,62000,Diesel,Dealer,Automatic,First Owner,11.36,2755.0,171.5,7.0,14.19736648302693
405,Toyota Innova Crysta 2.8 GX AT BSIV,2016,1630000,40000,Diesel,Individual,Automatic,Second Owner,11.36,2755.0,171.5,7.0,14.30409118627969
407,Toyota Innova Crysta 2.8 ZX AT BSIV,2017,2175000,50000,Diesel,Individual,Automatic,First Owner,11.36,2755.0,171.5,7.0,14.59253968227493
408,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1516000,120000,Diesel,Individual,Automatic,First Owner,11.36,2755.0,171.5,7.0,14.231586504814842
409,Toyota Fortuner 3.0 Diesel,2011,1150000,181000,Diesel,Individual,Manual,Second Owner,11.5,2982.0,171.0,7.0,13.955273369904273
410,Toyota Fortuner 3.0 Diesel,2010,800000,125000,Diesel,Individual,Manual,Second Owner,11.5,2982.0,171.0,7.0,13.592368256649284
411,Toyota Fortuner 3.0 Diesel,2010,900000,240000,Diesel,Individual,Manual,First Owner,11.5,2982.0,171.0,7.0,13.710151153416941
